name,iau_moon_number,absolute_magnitude,albedo,color,coord_func,orbit_ascendingnode,orbit_eccentricity,orbit_epoch,orbit_inclination,orbit_longofpericenter,orbit_meanlongitude,orbit_period,orbit_semimajoraxis,parent,radius,rot_equator_ascending_node,rot_obliquity,rot_rotation_offset,rot_pole_ra,rot_pole_ra1,rot_pole_de,rot_pole_de1,rot_pole_w0,rot_pole_w1,tex_map,type,model,orbit_visualization_period,rot_periode,atmosphere,landscape,oblateness,rot_epoch,precessionrate,rotationperiod,normals_map,roughness,ring_inner_size,ring_outer_size,rings,tex_ring,minor_planet_number,halo,hidden
Epimetheus,SXI,6.1,0.5,"1., 0.9, 0.75",ell_orbit,169.9393025242506,0.01319580173319188,2457939.5,0.4947301853571861,210.5435328894826,549.356357661891,0.7004004704802892,152096.4546105686004705258,Saturn,58.1,0,0,0,,,,,,,epimetheus.png,moon,,,,,,,,,,,,,,,,,,
Galatea,NVI,7.6,0.079,"1., 0.9, 0.75",ell_orbit,8.642606900770915,0.0009319587984705302,2454619.50000,0.5752509266760514,62.03770344,62.60684554,0.4294734314535237,62005.26343616215,Neptune,79,213.7,15.5,88.71,299.36,,43.43,,258.09,839.6597686,lune.png,moon,,,,,,,,,,,,,,,,,,
Ganymede,JIII,-2.09,0.43,"1., 0.962, 0.871",ganymede_special,,,,,,,,,Jupiter,2634.,161.6,0.1,260.61,268.20,-0.009,64.57,0.003,44.064,50.3176081,ganymede.png,moon,,7.155,171.7092749,1,,,,,,,,,,,,,,
Halimede,NIX,,0.06,"1., 0.9, 0.75",ell_orbit,188.1838751463620,0.2619064927013259,2454619.50000,139.1947079371791,336.4277167,76.5585497,1875.169478522967,16563980.32137450,Neptune,62,213.7,15.5,14.9,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Helene,SXII,8.8,0.6,"1., 0.9, 0.75",ell_orbit,169.1488133099785,0.008043134463779933,2457939.5,0.4915331878194952,519.2269266607293,864.9832300155284,2.737921632746249,377429.1855847576213357566,Saturn,16,0,0,0,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Himalia,JVI,8.14,0.04,"1., 0.9, 0.75",ell_orbit,62.74369092219344,0.1341186732710830,2454619.50000,29.52734924407240,48.3391873600156000,202.0757439998000000,248.3161934941932,11388576.13393731,Jupiter,85,213.7,15.5,14.9,,,,,,,lune.png,moon,,,7.782,,,,,,,,,,,,,,,
Hydra,PIII,,0.195,,ell_orbit,227.6182145734207,0.008469198926346792,2457939.5,1.974020787636261,585.8426709065136,616.67133430897493,-38.46736637831656,64900.41061999993140051606,Pluto,114,,1.0,0.0,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Hyperion,SVII,4.63,0.3,"1., 0.914, 0.835",hyperion_special,,,,,,,,,Saturn,141.5,145,61.,318.9,,,,,,,hyperion.png,moon,s7hyperion_21_MLfix.obj,21.276609,510.72,,,,,51.43,120,,,,,,,,,
Iapetus,SVIII,1.5,0.2,"1., 0.973, 0.948",iapetus_special,,,,,,,,,Saturn,718.,213.7,15.5,223.73,318.16,-3.949,75.03,-1.143,355.2,4.5379572,iapetus.png,moon,,79.33,1903.940390,,,,,,,,,,,,,,,
Io,JI,-1.68,0.63,"1., .885, .598",io_special,,,,,,,,,Jupiter,1821.3,,0.0,220.35,268.05,-0.009,64.50,0.003,200.39,203.4889538,io.png,moon,,1.769,42.45930719,1,,,,,,,,,,,,,,
Kerberos,PIV,,0.56,,ell_orbit,227.3764616597038,0.004864921999738080,2457939.5,1.977798409818596,381.3281088678735,434.71660906890009,-32.53390657388361,58042.31318993637053040642,Pluto,19,,1.0,0.0,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Janus,SX,4.9,0.5,"1., 0.9, 0.75",ell_orbit,169.4950252408618,0.01039350532665206,2457939.5,0.4924530371249293,481.1046065786531,500.48456523833078,0.7000394386551769,152044.1833237598760096396,Saturn,97,0,0,0,,,,,,,janus.png,moon,,,,,,,,,,,,,,,,,,
Jupiter,,-9.40,0.51,"1., 0.983, 0.934",jupiter_special,,,,,,,,,,71492,-22.203,2.222461,-1 # use JupiterGRS patch,268.056595,-0.006499,64.495303,0.002413,284.95,870.5360000,jupiter.png #texture courtesy of Bj\xf6rn J\xf3nsson,planet,,4331.87,9.92491,1,,0.064874,,,,,,,,,,,,
Juliet,UXI,8.8,0.07,"1., 0.9, 0.75",ell_orbit,167.6613914859273,0.0003626339414843795,2457939.5,1.706138947278907,492.2301885277902,535.05424730308089,-0.4938749171108545,64410.82226003643742634391,Uranus,42,0,0,0,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Laomedeia,NXII,,0.06,"1., 0.9, 0.75",ell_orbit,33.54920843735481,0.3845786604193581,2454619.50000,9.744680906468446,159.9138961,305.1617125,3185.068758279590,23580349.09459848,Neptune,42,213.7,15.5,14.9,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Larissa,NVII,7.3,0.091,"1., 0.9, 0.75",ell_orbit,12.97300037402120,0.001628627055845952,2454619.50000,0.3672114864338289,342.2125629,38.69785092,0.5553035150611498,73590.98861163890,Neptune,79,213.7,15.5,120.57,299.36,,43.41,,179.41,649.0534470,lune.png,moon,n7larissa_MLfix.obj,,,,,,,,,,,,,,,,,
Leda,JXIII,13.5,0.04,"1., 0.9, 0.75",ell_orbit,205.5729208452909,0.1849972068029340,2454619.50000,28.26096889279179,133.1912542293990000,276.4502233853120000,242.2566769525344,11202541.76637748,Jupiter,5,213.7,15.5,14.9,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Lysithea,JX,11.7,0.04,"1., 0.9, 0.75",ell_orbit,0.2875682490706584,0.1281232102397132,2454619.50000,24.59040357245339,78.9389828310578000,337.5492383800380000,259.0469768771512,11714356.05630203,Jupiter,12,213.7,15.5,14.9,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Mars,,-1.52,0.150,"1., 0.768, 0.504",mars_special,,,,,,,,,,3396.2,82.91,26.72,136.005,317.68143,-0.1061,52.88650,-0.0609,176.630,350.89198226,mars.png,planet,,686.971,24.622962,1,mars,0.006772,,,,,,,,,,,,
Mercury,,-0.60,0.06,"1.0, 0.964, 0.914",mercury_special,,,,,,,,,,2439.7,48.42,7.01,291.20,281.0097,-0.0328,61.4143,-0.0049,329.5469,6.1385205 # ExpSup2013. WGCCRE2009 gives 6.1385025,mercury.png,planet,,87.97,1407.509405,,,,,,,,,,,,,,,
